4.0,-1.0,10,8,3,0,0
1.0,1.0,0,0,0,11,1010
5.0,-1.0,10,3,3,0,0
3.0,3.0,0,0,0,11,1060
6.0,-1.0,82,8,3,0,0
6.0,6.7500,110,8,3,JumpScratch,5
8.0,13.3750,0,0,0,14,11310
6.2500,-1.0,900,8,3,0,0
49.0,49.0,0,0,0,11,11310
6.3750,-1.0,31,8,3,0,0
50.0,56.5000,0,0,0,54,11310
6.5000,-1.0,900,8,3,0,0
66.0,71.3750,0,0,0,14,11310
6.7500,7.5000,110,10,3,0,0
81.0,81.0,0,0,0,11,11310
7.0,-1.0,900,10,3,0,0
7.2500,-1.0,900,10,3,0,0
8.0,-1.0,20,1,3,0,0
8.3750,-1.0,10,7,3,0,0
8.7500,-1.0,10,1,3,0,0
9.0,-1.0,80,10,3,0,0
9.0,9.3750,100,10,3,0,0
9.2500,-1.0,900,10,3,0,0
9.3750,-1.0,10,4,3,0,0
10.0,-1.0,20,10,3,0,0
10.3750,-1.0,10,4,3,0,0
10.7500,-1.0,10,10,3,0,0
11.0,-1.0,82,1,3,0,0
11.0,11.5000,110,1,3,0,0
11.2500,-1.0,900,1,3,0,0
11.2500,-1.0,31,1,3,0,0
12.0,-1.0,20,7,3,0,0
12.3750,-1.0,10,1,3,0,0
12.7500,-1.0,10,7,3,0,0
13.0,-1.0,80,4,3,0,0
13.0,13.3750,100,4,3,0,0
13.2500,-1.0,900,4,3,0,0
13.3750,-1.0,10,10,3,0,0
14.0,-1.0,83,4,3,0,0
14.0,14.8750,110,4,3,JumpScratch,-6
14.1250,-1.0,31,4,3,0,0
14.2500,-1.0,900,4,3,0,0
14.3750,-1.0,31,4,3,0,0
14.5000,-1.0,900,4,3,0,0
14.5000,-1.0,31,4,3,0,0
14.7500,-1.0,900,4,3,0,0
14.7500,-1.0,31,4,3,0,0
14.8750,15.5000,110,1,3,0,0
15.1250,-1.0,900,1,3,0,0
15.2500,-1.0,31,1,3,0,0
15.3750,-1.0,900,1,3,0,0
16.2500,-1.0,10,10,3,0,0
